bottle,site_name,constituent,isotope,voltage,carbon,sacrifice_time,sacrifice_day,replicate
MSC863BG,"NRRI SED, CONTROL",SMHG,Hg201,FALSE,FALSE,T0,0,1
MSC863BG,"NRRI SED, CONTROL",SMHG,Hg204,FALSE,FALSE,T0,0,1
MSC863BG,"NRRI SED, CONTROL",SMHG,THg,FALSE,FALSE,T0,0,1
MSC863BG,"NRRI SED, CONTROL",STHG,Hg201,FALSE,FALSE,T0,0,1
MSC863BG,"NRRI SED, CONTROL",STHG,Hg204,FALSE,FALSE,T0,0,1
MSC863BG,"NRRI SED, CONTROL",STHG,THg,FALSE,FALSE,T0,0,1
MSC864BG,"NRRI SED, CONTROL",SMHG,Hg201,FALSE,FALSE,T0,0,2
MSC864BG,"NRRI SED, CONTROL",SMHG,Hg204,FALSE,FALSE,T0,0,2
MSC864BG,"NRRI SED, CONTROL",SMHG,THg,FALSE,FALSE,T0,0,2
MSC864BG,"NRRI SED, CONTROL",STHG,Hg201,FALSE,FALSE,T0,0,2
MSC864BG,"NRRI SED, CONTROL",STHG,Hg204,FALSE,FALSE,T0,0,2
MSC864BG,"NRRI SED, CONTROL",STHG,THg,FALSE,FALSE,T0,0,2
MSC865BG,"NRRI SED, CONTROL",SMHG,Hg201,FALSE,FALSE,T0,0,3
MSC865BG,"NRRI SED, CONTROL",SMHG,Hg204,FALSE,FALSE,T0,0,3
MSC865BG,"NRRI SED, CONTROL",SMHG,THg,FALSE,FALSE,T0,0,3
MSC865BG,"NRRI SED, CONTROL",STHG,Hg201,FALSE,FALSE,T0,0,3
MSC865BG,"NRRI SED, CONTROL",STHG,Hg204,FALSE,FALSE,T0,0,3
MSC865BG,"NRRI SED, CONTROL",STHG,THg,FALSE,FALSE,T0,0,3
MSC866BG,"NRRI SED, CONTROL",SMHG,Hg201,FALSE,FALSE,T1,1,1
MSC866BG,"NRRI SED, CONTROL",SMHG,Hg204,FALSE,FALSE,T1,1,1
MSC866BG,"NRRI SED, CONTROL",SMHG,THg,FALSE,FALSE,T1,1,1
MSC866BG,"NRRI SED, CONTROL",STHG,Hg201,FALSE,FALSE,T1,1,1
MSC866BG,"NRRI SED, CONTROL",STHG,Hg204,FALSE,FALSE,T1,1,1
MSC866BG,"NRRI SED, CONTROL",STHG,THg,FALSE,FALSE,T1,1,1
MSC867BG,"NRRI SED, CONTROL",SMHG,Hg201,FALSE,FALSE,T1,1,2
MSC867BG,"NRRI SED, CONTROL",SMHG,Hg204,FALSE,FALSE,T1,1,2
MSC867BG,"NRRI SED, CONTROL",SMHG,THg,FALSE,FALSE,T1,1,2
MSC867BG,"NRRI SED, CONTROL",STHG,Hg201,FALSE,FALSE,T1,1,2
MSC867BG,"NRRI SED, CONTROL",STHG,Hg204,FALSE,FALSE,T1,1,2
MSC867BG,"NRRI SED, CONTROL",STHG,THg,FALSE,FALSE,T1,1,2
MSC868BG,"NRRI SED, CONTROL",SMHG,Hg201,FALSE,FALSE,T1,1,3
MSC868BG,"NRRI SED, CONTROL",SMHG,Hg204,FALSE,FALSE,T1,1,3
MSC868BG,"NRRI SED, CONTROL",SMHG,THg,FALSE,FALSE,T1,1,3
MSC868BG,"NRRI SED, CONTROL",STHG,Hg201,FALSE,FALSE,T1,1,3
MSC868BG,"NRRI SED, CONTROL",STHG,Hg204,FALSE,FALSE,T1,1,3
MSC868BG,"NRRI SED, CONTROL",STHG,THg,FALSE,FALSE,T1,1,3
MSC869BG,"NRRI SED, CONTROL",SMHG,Hg201,FALSE,FALSE,T2,7,1
MSC869BG,"NRRI SED, CONTROL",SMHG,Hg204,FALSE,FALSE,T2,7,1
MSC869BG,"NRRI SED, CONTROL",SMHG,THg,FALSE,FALSE,T2,7,1
MSC869BG,"NRRI SED, CONTROL",STHG,Hg201,FALSE,FALSE,T2,7,1
MSC869BG,"NRRI SED, CONTROL",STHG,Hg204,FALSE,FALSE,T2,7,1
MSC869BG,"NRRI SED, CONTROL",STHG,THg,FALSE,FALSE,T2,7,1
MSC870BG,"NRRI SED, CONTROL",SMHG,Hg201,FALSE,FALSE,T2,7,2
MSC870BG,"NRRI SED, CONTROL",SMHG,Hg204,FALSE,FALSE,T2,7,2
MSC870BG,"NRRI SED, CONTROL",SMHG,THg,FALSE,FALSE,T2,7,2
MSC870BG,"NRRI SED, CONTROL",STHG,Hg201,FALSE,FALSE,T2,7,2
MSC870BG,"NRRI SED, CONTROL",STHG,Hg204,FALSE,FALSE,T2,7,2
MSC870BG,"NRRI SED, CONTROL",STHG,THg,FALSE,FALSE,T2,7,2
MSC871BG,"NRRI SED, CONTROL",SMHG,Hg201,FALSE,FALSE,T2,7,3
MSC871BG,"NRRI SED, CONTROL",SMHG,Hg204,FALSE,FALSE,T2,7,3
MSC871BG,"NRRI SED, CONTROL",SMHG,THg,FALSE,FALSE,T2,7,3
MSC871BG,"NRRI SED, CONTROL",STHG,Hg201,FALSE,FALSE,T2,7,3
MSC871BG,"NRRI SED, CONTROL",STHG,Hg204,FALSE,FALSE,T2,7,3
MSC871BG,"NRRI SED, CONTROL",STHG,THg,FALSE,FALSE,T2,7,3
MSC872BG,"NRRI SED, ACTIVATED CARBON",SMHG,Hg201,FALSE,TRUE,T0,0,1
MSC872BG,"NRRI SED, ACTIVATED CARBON",STHG,Hg204,FALSE,TRUE,T0,0,1
MSC872BG,"NRRI SED, ACTIVATED CARBON",SMHG,Hg204,FALSE,TRUE,T0,0,1
MSC872BG,"NRRI SED, ACTIVATED CARBON",SMHG,THg,FALSE,TRUE,T0,0,1
MSC872BG,"NRRI SED, ACTIVATED CARBON",STHG,Hg201,FALSE,TRUE,T0,0,1
MSC872BG,"NRRI SED, ACTIVATED CARBON",STHG,THg,FALSE,TRUE,T0,0,1
MSC873BG,"NRRI SED, ACTIVATED CARBON",SMHG,Hg201,FALSE,TRUE,T0,0,2
MSC873BG,"NRRI SED, ACTIVATED CARBON",STHG,Hg204,FALSE,TRUE,T0,0,2
MSC873BG,"NRRI SED, ACTIVATED CARBON",SMHG,Hg204,FALSE,TRUE,T0,0,2
MSC873BG,"NRRI SED, ACTIVATED CARBON",SMHG,THg,FALSE,TRUE,T0,0,2
MSC873BG,"NRRI SED, ACTIVATED CARBON",STHG,THg,FALSE,TRUE,T0,0,2
MSC873BG,"NRRI SED, ACTIVATED CARBON",STHG,Hg201,FALSE,TRUE,T0,0,2
MSC874BG,"NRRI SED, ACTIVATED CARBON",SMHG,Hg201,FALSE,TRUE,T0,0,3
MSC874BG,"NRRI SED, ACTIVATED CARBON",STHG,Hg204,FALSE,TRUE,T0,0,3
MSC874BG,"NRRI SED, ACTIVATED CARBON",SMHG,Hg204,FALSE,TRUE,T0,0,3
MSC874BG,"NRRI SED, ACTIVATED CARBON",SMHG,THg,FALSE,TRUE,T0,0,3
MSC874BG,"NRRI SED, ACTIVATED CARBON",STHG,THg,FALSE,TRUE,T0,0,3
MSC874BG,"NRRI SED, ACTIVATED CARBON",STHG,Hg201,FALSE,TRUE,T0,0,3
MSC875BG,"NRRI SED, ACTIVATED CARBON",SMHG,Hg201,FALSE,TRUE,T1,1,1
MSC875BG,"NRRI SED, ACTIVATED CARBON",SMHG,Hg201,FALSE,TRUE,T1,1,2
MSC875BG,"NRRI SED, ACTIVATED CARBON",SMHG,Hg201,FALSE,TRUE,T1,1,3
MSC875BG,"NRRI SED, ACTIVATED CARBON",SMHG,Hg204,FALSE,TRUE,T1,1,1
MSC875BG,"NRRI SED, ACTIVATED CARBON",SMHG,Hg204,FALSE,TRUE,T1,1,2
MSC875BG,"NRRI SED, ACTIVATED CARBON",SMHG,Hg204,FALSE,TRUE,T1,1,3
MSC875BG,"NRRI SED, ACTIVATED CARBON",SMHG,THg,FALSE,TRUE,T1,1,1
MSC875BG,"NRRI SED, ACTIVATED CARBON",SMHG,THg,FALSE,TRUE,T1,1,2
MSC875BG,"NRRI SED, ACTIVATED CARBON",SMHG,THg,FALSE,TRUE,T1,1,3
MSC875BG,"NRRI SED, ACTIVATED CARBON",STHG,Hg201,FALSE,TRUE,T1,1,1
MSC875BG,"NRRI SED, ACTIVATED CARBON",STHG,Hg201,FALSE,TRUE,T1,1,2
MSC875BG,"NRRI SED, ACTIVATED CARBON",STHG,Hg201,FALSE,TRUE,T1,1,3
MSC875BG,"NRRI SED, ACTIVATED CARBON",STHG,Hg204,FALSE,TRUE,T1,1,1
MSC875BG,"NRRI SED, ACTIVATED CARBON",STHG,Hg204,FALSE,TRUE,T1,1,2
MSC875BG,"NRRI SED, ACTIVATED CARBON",STHG,Hg204,FALSE,TRUE,T1,1,3
MSC875BG,"NRRI SED, ACTIVATED CARBON",STHG,THg,FALSE,TRUE,T1,1,1
MSC875BG,"NRRI SED, ACTIVATED CARBON",STHG,THg,FALSE,TRUE,T1,1,2
MSC875BG,"NRRI SED, ACTIVATED CARBON",STHG,THg,FALSE,TRUE,T1,1,3
MSC878BG,"NRRI SED, ACTIVATED CARBON",SMHG,Hg201,FALSE,TRUE,T2,7,1
MSC878BG,"NRRI SED, ACTIVATED CARBON",SMHG,Hg201,FALSE,TRUE,T2,7,2
MSC878BG,"NRRI SED, ACTIVATED CARBON",SMHG,Hg201,FALSE,TRUE,T2,7,3
MSC878BG,"NRRI SED, ACTIVATED CARBON",SMHG,Hg204,FALSE,TRUE,T2,7,1
MSC878BG,"NRRI SED, ACTIVATED CARBON",SMHG,Hg204,FALSE,TRUE,T2,7,2
MSC878BG,"NRRI SED, ACTIVATED CARBON",SMHG,Hg204,FALSE,TRUE,T2,7,3
MSC878BG,"NRRI SED, ACTIVATED CARBON",SMHG,THg,FALSE,TRUE,T2,7,1
MSC878BG,"NRRI SED, ACTIVATED CARBON",SMHG,THg,FALSE,TRUE,T2,7,2
MSC878BG,"NRRI SED, ACTIVATED CARBON",SMHG,THg,FALSE,TRUE,T2,7,3
MSC878BG,"NRRI SED, ACTIVATED CARBON",STHG,Hg201,FALSE,TRUE,T2,7,1
MSC878BG,"NRRI SED, ACTIVATED CARBON",STHG,Hg201,FALSE,TRUE,T2,7,2
MSC878BG,"NRRI SED, ACTIVATED CARBON",STHG,Hg201,FALSE,TRUE,T2,7,3
MSC878BG,"NRRI SED, ACTIVATED CARBON",STHG,Hg204,FALSE,TRUE,T2,7,1
MSC878BG,"NRRI SED, ACTIVATED CARBON",STHG,Hg204,FALSE,TRUE,T2,7,2
MSC878BG,"NRRI SED, ACTIVATED CARBON",STHG,Hg204,FALSE,TRUE,T2,7,3
MSC878BG,"NRRI SED, ACTIVATED CARBON",STHG,THg,FALSE,TRUE,T2,7,1
MSC878BG,"NRRI SED, ACTIVATED CARBON",STHG,THg,FALSE,TRUE,T2,7,2
MSC878BG,"NRRI SED, ACTIVATED CARBON",STHG,THg,FALSE,TRUE,T2,7,3
MSC881BG,"NRRI SED, VOLTAGE",SMHG,Hg201,TRUE,FALSE,T0,0,1
MSC881BG,"NRRI SED, VOLTAGE",SMHG,Hg204,TRUE,FALSE,T0,0,1
MSC881BG,"NRRI SED, VOLTAGE",SMHG,THg,TRUE,FALSE,T0,0,1
MSC881BG,"NRRI SED, VOLTAGE",STHG,Hg201,TRUE,FALSE,T0,0,1
MSC881BG,"NRRI SED, VOLTAGE",STHG,Hg204,TRUE,FALSE,T0,0,1
MSC881BG,"NRRI SED, VOLTAGE",STHG,THg,TRUE,FALSE,T0,0,1
MSC882BG,"NRRI SED, VOLTAGE",SMHG,Hg201,TRUE,FALSE,T0,0,2
MSC882BG,"NRRI SED, VOLTAGE",SMHG,Hg204,TRUE,FALSE,T0,0,2
MSC882BG,"NRRI SED, VOLTAGE",SMHG,THg,TRUE,FALSE,T0,0,2
MSC882BG,"NRRI SED, VOLTAGE",STHG,Hg201,TRUE,FALSE,T0,0,2
MSC882BG,"NRRI SED, VOLTAGE",STHG,Hg204,TRUE,FALSE,T0,0,2
MSC882BG,"NRRI SED, VOLTAGE",STHG,THg,TRUE,FALSE,T0,0,2
MSC883BG,"NRRI SED, VOLTAGE",SMHG,Hg201,TRUE,FALSE,T0,0,3
MSC883BG,"NRRI SED, VOLTAGE",SMHG,Hg204,TRUE,FALSE,T0,0,3
MSC883BG,"NRRI SED, VOLTAGE",SMHG,THg,TRUE,FALSE,T0,0,3
MSC883BG,"NRRI SED, VOLTAGE",STHG,Hg201,TRUE,FALSE,T0,0,3
MSC883BG,"NRRI SED, VOLTAGE",STHG,Hg204,TRUE,FALSE,T0,0,3
MSC883BG,"NRRI SED, VOLTAGE",STHG,THg,TRUE,FALSE,T0,0,3
MSC884BG,"NRRI SED, VOLTAGE",SMHG,Hg201,TRUE,FALSE,T1,1,1
MSC884BG,"NRRI SED, VOLTAGE",SMHG,Hg204,TRUE,FALSE,T1,1,1
MSC884BG,"NRRI SED, VOLTAGE",SMHG,THg,TRUE,FALSE,T1,1,1
MSC884BG,"NRRI SED, VOLTAGE",STHG,Hg201,TRUE,FALSE,T1,1,1
MSC884BG,"NRRI SED, VOLTAGE",STHG,Hg204,TRUE,FALSE,T1,1,1
MSC884BG,"NRRI SED, VOLTAGE",STHG,THg,TRUE,FALSE,T1,1,1
MSC885BG,"NRRI SED, VOLTAGE",SMHG,Hg201,TRUE,FALSE,T1,1,2
MSC885BG,"NRRI SED, VOLTAGE",SMHG,Hg204,TRUE,FALSE,T1,1,2
MSC885BG,"NRRI SED, VOLTAGE",SMHG,THg,TRUE,FALSE,T1,1,2
MSC885BG,"NRRI SED, VOLTAGE",STHG,Hg201,TRUE,FALSE,T1,1,2
MSC885BG,"NRRI SED, VOLTAGE",STHG,Hg204,TRUE,FALSE,T1,1,2
MSC885BG,"NRRI SED, VOLTAGE",STHG,THg,TRUE,FALSE,T1,1,2
MSC886BG,"NRRI SED, VOLTAGE",SMHG,Hg201,TRUE,FALSE,T1,1,3
MSC886BG,"NRRI SED, VOLTAGE",SMHG,Hg204,TRUE,FALSE,T1,1,3
MSC886BG,"NRRI SED, VOLTAGE",SMHG,THg,TRUE,FALSE,T1,1,3
MSC886BG,"NRRI SED, VOLTAGE",STHG,Hg201,TRUE,FALSE,T1,1,3
MSC886BG,"NRRI SED, VOLTAGE",STHG,Hg204,TRUE,FALSE,T1,1,3
MSC886BG,"NRRI SED, VOLTAGE",STHG,THg,TRUE,FALSE,T1,1,3
MSC887BG,"NRRI SED, VOLTAGE",SMHG,Hg201,TRUE,FALSE,T2,7,1
MSC887BG,"NRRI SED, VOLTAGE",SMHG,Hg204,TRUE,FALSE,T2,7,1
MSC887BG,"NRRI SED, VOLTAGE",SMHG,THg,TRUE,FALSE,T2,7,1
MSC887BG,"NRRI SED, VOLTAGE",STHG,Hg201,TRUE,FALSE,T2,7,1
MSC887BG,"NRRI SED, VOLTAGE",STHG,Hg204,TRUE,FALSE,T2,7,1
MSC887BG,"NRRI SED, VOLTAGE",STHG,THg,TRUE,FALSE,T2,7,1
MSC888BG,"NRRI SED, VOLTAGE",SMHG,Hg201,TRUE,FALSE,T2,7,2
MSC888BG,"NRRI SED, VOLTAGE",SMHG,Hg204,TRUE,FALSE,T2,7,2
MSC888BG,"NRRI SED, VOLTAGE",SMHG,THg,TRUE,FALSE,T2,7,2
MSC888BG,"NRRI SED, VOLTAGE",STHG,Hg201,TRUE,FALSE,T2,7,2
MSC888BG,"NRRI SED, VOLTAGE",STHG,Hg204,TRUE,FALSE,T2,7,2
MSC888BG,"NRRI SED, VOLTAGE",STHG,THg,TRUE,FALSE,T2,7,2
MSC889BG,"NRRI SED, VOLTAGE",SMHG,Hg201,TRUE,FALSE,T2,7,3
MSC889BG,"NRRI SED, VOLTAGE",SMHG,Hg204,TRUE,FALSE,T2,7,3
MSC889BG,"NRRI SED, VOLTAGE",SMHG,THg,TRUE,FALSE,T2,7,3
MSC889BG,"NRRI SED, VOLTAGE",STHG,Hg201,TRUE,FALSE,T2,7,3
MSC889BG,"NRRI SED, VOLTAGE",STHG,Hg204,TRUE,FALSE,T2,7,3
MSC889BG,"NRRI SED, VOLTAGE",STHG,THg,TRUE,FALSE,T2,7,3
MSC890BG,"NRRI SED, VOLTAGE AND ACTIVATED CARBON",SMHG,Hg201,TRUE,TRUE,T0,0,1
MSC890BG,"NRRI SED, VOLTAGE AND ACTIVATED CARBON",SMHG,Hg204,TRUE,TRUE,T0,0,1
MSC890BG,"NRRI SED, VOLTAGE AND ACTIVATED CARBON",SMHG,THg,TRUE,TRUE,T0,0,1
MSC890BG,"NRRI SED, VOLTAGE AND ACTIVATED CARBON",STHG,Hg201,TRUE,TRUE,T0,0,1
MSC890BG,"NRRI SED, VOLTAGE AND ACTIVATED CARBON",STHG,Hg204,TRUE,TRUE,T0,0,1
MSC890BG,"NRRI SED, VOLTAGE AND ACTIVATED CARBON",STHG,THg,TRUE,TRUE,T0,0,1
MSC891BG,"NRRI SED, VOLTAGE AND ACTIVATED CARBON",SMHG,Hg201,TRUE,TRUE,T0,0,2
MSC891BG,"NRRI SED, VOLTAGE AND ACTIVATED CARBON",SMHG,Hg204,TRUE,TRUE,T0,0,2
MSC891BG,"NRRI SED, VOLTAGE AND ACTIVATED CARBON",SMHG,THg,TRUE,TRUE,T0,0,2
MSC891BG,"NRRI SED, VOLTAGE AND ACTIVATED CARBON",STHG,Hg201,TRUE,TRUE,T0,0,2
MSC891BG,"NRRI SED, VOLTAGE AND ACTIVATED CARBON",STHG,Hg204,TRUE,TRUE,T0,0,2
MSC891BG,"NRRI SED, VOLTAGE AND ACTIVATED CARBON",STHG,THg,TRUE,TRUE,T0,0,2
MSC892BG,"NRRI SED, VOLTAGE AND ACTIVATED CARBON",SMHG,Hg201,TRUE,TRUE,T0,0,3
MSC892BG,"NRRI SED, VOLTAGE AND ACTIVATED CARBON",SMHG,Hg204,TRUE,TRUE,T0,0,3
MSC892BG,"NRRI SED, VOLTAGE AND ACTIVATED CARBON",SMHG,THg,TRUE,TRUE,T0,0,3
MSC892BG,"NRRI SED, VOLTAGE AND ACTIVATED CARBON",STHG,Hg201,TRUE,TRUE,T0,0,3
MSC892BG,"NRRI SED, VOLTAGE AND ACTIVATED CARBON",STHG,Hg204,TRUE,TRUE,T0,0,3
MSC892BG,"NRRI SED, VOLTAGE AND ACTIVATED CARBON",STHG,THg,TRUE,TRUE,T0,0,3
MSC893BG,"NRRI SED, VOLTAGE AND ACTIVATED CARBON",SMHG,Hg201,TRUE,TRUE,T1,1,1
MSC893BG,"NRRI SED, VOLTAGE AND ACTIVATED CARBON",SMHG,Hg204,TRUE,TRUE,T1,1,1
MSC893BG,"NRRI SED, VOLTAGE AND ACTIVATED CARBON",SMHG,THg,TRUE,TRUE,T1,1,1
MSC893BG,"NRRI SED, VOLTAGE AND ACTIVATED CARBON",STHG,Hg201,TRUE,TRUE,T1,1,1
MSC893BG,"NRRI SED, VOLTAGE AND ACTIVATED CARBON",STHG,Hg204,TRUE,TRUE,T1,1,1
MSC893BG,"NRRI SED, VOLTAGE AND ACTIVATED CARBON",STHG,THg,TRUE,TRUE,T1,1,1
MSC894BG,"NRRI SED, VOLTAGE AND ACTIVATED CARBON",SMHG,Hg201,TRUE,TRUE,T1,1,2
MSC894BG,"NRRI SED, VOLTAGE AND ACTIVATED CARBON",SMHG,Hg204,TRUE,TRUE,T1,1,2
MSC894BG,"NRRI SED, VOLTAGE AND ACTIVATED CARBON",SMHG,THg,TRUE,TRUE,T1,1,2
MSC894BG,"NRRI SED, VOLTAGE AND ACTIVATED CARBON",STHG,Hg201,TRUE,TRUE,T1,1,2
MSC894BG,"NRRI SED, VOLTAGE AND ACTIVATED CARBON",STHG,Hg204,TRUE,TRUE,T1,1,2
MSC894BG,"NRRI SED, VOLTAGE AND ACTIVATED CARBON",STHG,THg,TRUE,TRUE,T1,1,2
MSC895BG,"NRRI SED, VOLTAGE AND ACTIVATED CARBON",SMHG,Hg201,TRUE,TRUE,T1,1,3
MSC895BG,"NRRI SED, VOLTAGE AND ACTIVATED CARBON",SMHG,Hg204,TRUE,TRUE,T1,1,3
MSC895BG,"NRRI SED, VOLTAGE AND ACTIVATED CARBON",SMHG,THg,TRUE,TRUE,T1,1,3
MSC895BG,"NRRI SED, VOLTAGE AND ACTIVATED CARBON",STHG,Hg201,TRUE,TRUE,T1,1,3
MSC895BG,"NRRI SED, VOLTAGE AND ACTIVATED CARBON",STHG,Hg204,TRUE,TRUE,T1,1,3
MSC895BG,"NRRI SED, VOLTAGE AND ACTIVATED CARBON",STHG,THg,TRUE,TRUE,T1,1,3
MSC896BG,"NRRI SED, VOLTAGE AND ACTIVATED CARBON",SMHG,Hg201,TRUE,TRUE,T2,7,1
MSC896BG,"NRRI SED, VOLTAGE AND ACTIVATED CARBON",SMHG,Hg204,TRUE,TRUE,T2,7,1
MSC896BG,"NRRI SED, VOLTAGE AND ACTIVATED CARBON",SMHG,THg,TRUE,TRUE,T2,7,1
MSC896BG,"NRRI SED, VOLTAGE AND ACTIVATED CARBON",STHG,Hg201,TRUE,TRUE,T2,7,1
MSC896BG,"NRRI SED, VOLTAGE AND ACTIVATED CARBON",STHG,Hg204,TRUE,TRUE,T2,7,1
MSC896BG,"NRRI SED, VOLTAGE AND ACTIVATED CARBON",STHG,THg,TRUE,TRUE,T2,7,1
MSC897BG,"NRRI SED, VOLTAGE AND ACTIVATED CARBON",SMHG,Hg201,TRUE,TRUE,T2,7,2
MSC897BG,"NRRI SED, VOLTAGE AND ACTIVATED CARBON",SMHG,Hg204,TRUE,TRUE,T2,7,2
MSC897BG,"NRRI SED, VOLTAGE AND ACTIVATED CARBON",SMHG,THg,TRUE,TRUE,T2,7,2
MSC897BG,"NRRI SED, VOLTAGE AND ACTIVATED CARBON",STHG,Hg201,TRUE,TRUE,T2,7,2
MSC897BG,"NRRI SED, VOLTAGE AND ACTIVATED CARBON",STHG,Hg204,TRUE,TRUE,T2,7,2
MSC897BG,"NRRI SED, VOLTAGE AND ACTIVATED CARBON",STHG,THg,TRUE,TRUE,T2,7,2
MSC898BG,"NRRI SED, VOLTAGE AND ACTIVATED CARBON",SMHG,Hg201,TRUE,TRUE,T2,7,3
MSC898BG,"NRRI SED, VOLTAGE AND ACTIVATED CARBON",SMHG,Hg204,TRUE,TRUE,T2,7,3
MSC898BG,"NRRI SED, VOLTAGE AND ACTIVATED CARBON",SMHG,THg,TRUE,TRUE,T2,7,3
MSC898BG,"NRRI SED, VOLTAGE AND ACTIVATED CARBON",STHG,Hg201,TRUE,TRUE,T2,7,3
MSC898BG,"NRRI SED, VOLTAGE AND ACTIVATED CARBON",STHG,Hg204,TRUE,TRUE,T2,7,3
MSC898BG,"NRRI SED, VOLTAGE AND ACTIVATED CARBON",STHG,THg,TRUE,TRUE,T2,7,3